Feature,Embed_Type,R2_Mean,R2_Median,R2_Std,R2_95%_CI_Lower,R2_95%_CI_Upper,MSE_Mean,MSE_Median,MSE_Std,MSE_95%_CI_Lower,MSE_95%_CI_Upper,Intercept,Coefficients
h_delta_flux,orig,0.41834786160700016,0.41838479191496153,0.004605167614828298,0.4094325734604858,0.4277558611287438,0.16500152268894486,0.1649567317996872,0.0025618022582822825,0.1601919028662878,0.17004673096722284,0.7294681958250026,"[-0.7316307360039999, -0.2973274384170631, 0.7200041447986029, 0.2220598823699139, 0.6532312098889391, -0.06345016877299296, -0.67425242540271, 0.3309979479768944, 0.21768575931203482, 0.25866017514527856]"
h_delta_flux,cond,0.2823276948803739,0.28226646871129224,0.004361741583374525,0.2740299289264958,0.29086989390063245,0.20374490806047466,0.20379922291157276,0.0027675655805976655,0.19841072823895586,0.20942837816412477,0.6273484989948239,"[-0.14958952185191357, -0.0021785098076954473, 0.0775490998383201, -0.004903415196485126, 0.12407745302438558, 0.11167777492780824, -0.05386741670146899, 0.12452273504585519, -0.029646062970548788, 0.1260858049972059]"
h_delta_flux,uncond,0.34497703504913946,0.34512472210841727,0.004570679105545736,0.33564618475645425,0.3532368718991126,0.18583990805668918,0.18566211018575987,0.0026561140048437988,0.18068634243950402,0.19109988789580795,0.5820972588006281,"[-0.20044756620256818, 0.009369345555686331, 0.06307340740976725, -0.03337443426056748, 0.1584094993534279, 0.1231006309856853, -0.11706517451092391, 0.12074312417532175, -0.07868039704488244, 0.10003390621539514]"
h_delta_flux,cond+z,0.3797474166889771,0.379701355422556,0.004762157177616481,0.3705568664110682,0.3888548167572157,0.17609359851162845,0.1761326451216899,0.0026892924328713133,0.17113660705656597,0.18125991771058306,0.6272072495621956,"[-0.15210302659836647, -0.0017832775380353383, 0.07621593133787832, -0.014005080116070007, 0.12805704983581384, 0.11167098221226006, -0.05645632830770403, 0.12127391234898473, -0.02125327963141191, 0.13051346692166216, -0.16847559172539392]"
lgm_tot_p50,orig,0.7760520798014934,0.7760721540084196,0.0029298842736095237,0.7700279019779779,0.78143563110556,0.07695914135858416,0.07694585538996779,0.0009897831852908958,0.07511624424800897,0.07890579656386541,10.528216321761102,"[0.4278629018918945, -0.05372546753624319, 0.7516906218975621, 0.27718233860839586, 0.3574288644732663, -0.06158828110109199, 0.511802746600905, -0.21896043461474954, 1.0020064002855162, 0.9791003927549984]"
lgm_tot_p50,cond,0.2601908831177905,0.26025013259374347,0.0032921635048494815,0.2535299443035535,0.26652796133529516,0.25425560855811324,0.2543326744748437,0.0021585174940969604,0.2499877838314197,0.25832570512555514,10.588475178378522,"[0.08970494119279594, -0.01755290018115078, 0.10158471554986351, -0.05176666836706634, -0.07231961667881232, -0.11849367714878338, 0.0630817661171979, -0.03388087469047951, 0.2050567393440311, 0.04690367917644567]"
lgm_tot_p50,uncond,0.6864041313279671,0.6864438328041078,0.002723829918567186,0.6809431862941623,0.6916913197645939,0.10780087885603439,0.10773218129839957,0.0011133381375127594,0.10579297083450247,0.10990805803636362,10.618628414667228,"[0.18639006283733023, -0.049884065411655215, 0.16341379461264524, -0.00452585818061468, -0.13132194156004673, -0.16367090663014905, 0.1838142149298968, -0.0021739481954363565, 0.33117991745522907, 0.12444800321357251]"
lgm_tot_p50,cond+z,0.764263767926048,0.7642903801153428,0.0019489741039807548,0.7603953716426767,0.7680796385405448,0.0810025636341563,0.08097838561142563,0.0009765692597337465,0.07920534059681623,0.08301901366097622,10.590026270256052,"[0.08457569480533372, -0.009132430416043544, 0.10348043385805314, -0.03487140916586479, -0.07534009627154725, -0.11602484534903346, 0.06422238537352795, -0.016098506035754124, 0.18276959119096264, 0.042630402796086334, 0.41872550047860685]"
sfr_tot_p50,orig,0.6407205005679532,0.6407429196030262,0.0028097562604694143,0.6347860216376138,0.6459385155969072,0.21587385849987237,0.21587194287949055,0.0017536753016261497,0.2124207898975084,0.2194125894351905,-0.8556815721212913,"[0.26769172406518477, 0.42074594091128437, 0.1532367437529238, -0.3665531511369593, 0.1447110212335787, 0.7537385253033396, 0.38119597485646417, 0.705371100142892, -0.32529038456612624, 2.3912110414938055]"
sfr_tot_p50,cond,0.5867920104097107,0.5866365726372125,0.0029503150105886894,0.5813673441156323,0.5924432723118078,0.24819029113461638,0.2481668132240936,0.0018300629132822516,0.24476100843928522,0.2517185334085509,-0.4133713769538246,"[-0.26908367502901087, 0.0506065498093555, -0.0010072055359057058, -0.1266566856923903, 0.14127213856438225, 0.1886784676260809, -0.1115691014521899, 0.3034800670197986, -0.15974216068752148, 0.28203983849632663]"
sfr_tot_p50,uncond,0.563331045861796,0.5633154355992123,0.0030015882460547243,0.5576303103861324,0.5693002457678998,0.26230744764174013,0.2622922052707181,0.001869412829513901,0.2586180669099645,0.26580606633002823,-0.4757785417374071,"[-0.2203851822007596, 0.039412871806520346, 0.04438152379765656, -0.0849502709037702, 0.13289525132498062, 0.1996874078747979, -0.029372649248187343, 0.32161511843911667, -0.09368238692638488, 0.3541565381163514]"
sfr_tot_p50,cond+z,0.6135404955177793,0.6135983101390452,0.0030431257172526915,0.6075541924042551,0.6192679449900909,0.23226942563371109,0.23223303828246697,0.0017204306658506576,0.2288789901186383,0.23563995394395695,-0.41290791720890085,"[-0.270703446006561, 0.053156984694692815, -0.00041359479806685195, -0.12152581162885379, 0.14049568148697555, 0.18949461922133404, -0.11125953969915713, 0.3089482649643531, -0.166537970405441, 0.2807323658199864, 0.1274770677563773]"
