Feature,Embed_Type,R2_Mean,R2_Median,R2_Std,R2_95%_CI_Lower,R2_95%_CI_Upper,MSE_Mean,MSE_Median,MSE_Std,MSE_95%_CI_Lower,MSE_95%_CI_Upper,Intercept,Coefficients
petroR50_r,cond,0.034840618751523666,0.03492888677975503,0.002612247367714876,0.029714461061788953,0.03992960929277244,0.9188514989867147,0.9117057502441808,0.08901385501828714,0.797638086191946,1.117490107057599,0.012230651917959509,"[-0.04414346593910871, -0.05116580568828603, 0.005235803318511607, -0.08549495216397437, -0.025168910821792685, -0.06756299799055042, -0.08587098885357668, 0.07886240713396188, 0.0007586597682811315, 0.06078484530760914]"
petroR50_r,uncond,0.09129530676133907,0.09141194066282854,0.005510683891120746,0.08052089283364997,0.1014229065167825,0.8637405790849602,0.8590932400321627,0.08544303727891815,0.7510747133505465,1.056588553891963,0.0058747871399846855,"[-0.12608829300452082, -0.03003750695141026, -0.04703931777715052, -0.1286559867896302, 0.026809702203849296, -0.05699623196102378, -0.1980896001823203, 0.048153654058424436, -0.09519020818241464, -0.008224968225114763]"
petroR50_r,cond+z,0.12049508527587269,0.12096818773446488,0.008861892532770496,0.10257498068563291,0.1347098802747476,0.8378316277401846,0.8311835781560647,0.08970786613315852,0.7226650144613456,1.0359902683317337,0.011039609710445557,"[-0.040912037108014464, -0.05697769351463314, 0.004426346550334623, -0.09690292561870895, -0.023114835947392907, -0.06929876127963729, -0.08653512097061727, 0.06597654112955692, 0.01650798481357015, 0.06425010425226833, -0.28849535338624255]"
petroR90_r,orig,0.05324480693758838,0.053430489797664515,0.0031977859271885615,0.046559979791927344,0.05877461041342295,0.9205453736153573,0.9126071514617421,0.04841229211674224,0.8413543997399636,1.033771230169967,0.2943148290031886,"[-0.9841526706209656, -0.5052098933022707, -0.09555890387649263, -0.6397711019710132, -0.465818044832677, -0.6064458133021962, -0.9122307332033986, -0.12371446444806591, 0.14349894474660851, -1.0006784061375982]"
petroR90_r,cond,0.05457960311663796,0.05472705234840186,0.003505323944022841,0.04732339662165284,0.061655752937358255,0.9198878213059135,0.9151109058639901,0.04898787713754077,0.842807514304439,1.0250786609616982,-0.017363026722607162,"[0.020229784616642425, -0.04985630005898643, 0.07860359136405656, -0.042628903299986406, -0.07951884137703735, -0.136432805612356, -0.007579682645976242, 0.02029228441751643, 0.14158326458043707, 0.044657640779322286]"
petroR90_r,uncond,0.05305446828127947,0.053001345954767076,0.0026771585253119994,0.04784981821910735,0.058367696677866496,0.9206510122183379,0.9164053128701309,0.045898556189074124,0.8460176258347394,1.0230299616983858,0.004957976299396417,"[-0.056787115102610385, -0.03602096062988215, 0.031432563883241456, -0.0954341742527362, -0.035518354662404515, -0.14803838022613264, -0.12644023454576397, -0.007277627897314683, 0.052693795660373605, -0.03268398001490468]"
petroR90_r,cond+z,0.10718529022968687,0.10728707920652741,0.005220358744743772,0.09667985863737896,0.11661236884086121,0.869860252378417,0.862841519320544,0.049053869589424974,0.7944534586938359,0.9803312760224122,-0.018311610662466823,"[0.02280339743459082, -0.054485072589093075, 0.07795891421873008, -0.05171457661805717, -0.07788291074012771, -0.1378152227668769, -0.008108618611633218, 0.01002957041305214, 0.1541265285448375, 0.04741748334545573, -0.2297668858583276]"
nii_6584_flux,orig,0.6276065398239955,0.6277775195384931,0.004079559729686968,0.6193542150105541,0.6350816008426972,0.37186450859085846,0.3715085501482713,0.0070591389413773645,0.35882681633829494,0.38583018076377695,0.13155175911129668,"[0.07122781965777625, 0.24390012945433281, 2.3012045748287737, -0.9628382298284038, 0.827432756271002, 0.41520666526541694, -0.3661143037049157, 1.797378835424871, -0.6956434864319068, 0.8415741597374554]"
nii_6584_flux,cond,0.6251794461286743,0.6253629104901788,0.004240843991871152,0.6161548930662667,0.6332486036822129,0.37416117206974353,0.37410885884710315,0.0068868407392824104,0.36162689813013954,0.3886096960760536,0.00909196411452286,"[-0.21471660842791, 0.09075339659683403, 0.2748825497587011, -0.13610817372672407, 0.183965302502421, 0.28458396782353784, -0.0516156120889848, 0.5743022849929715, 0.0024810595475276975, 0.29692334042438917]"
nii_6584_flux,uncond,0.658652003607114,0.6588869287873846,0.004169942308867595,0.6500866121931594,0.6665460622373894,0.340789518599582,0.34059399583281336,0.0062744633832365415,0.3291501679345074,0.3532477761124734,-0.04525967432960681,"[-0.27836295657226884, 0.11258397073400225, 0.277078433792441, -0.190276246085587, 0.22527030862186764, 0.2857488599411577, -0.14543319236053273, 0.563448711873694, -0.06542625703616356, 0.2466336627799683]"
